sale_id,sale_type,product,customer_name,customer_email,customer_country,quantity,unit_price,discount,store_location,sale_date
86,IN-STORE,COMPUTER,Christopher Robinson,christopher.robinson82@proton.me,CHINA,1,1400,0.00,USA,12/15/2025
87,ON-LINE,COMPUTER,William Stewart,william.stewart37@yahoo.com,USA,4,1400,560.00,USA,07/05/2025
88,ON-LINE,COMPUTER,Thomas Rodriguez,thomas.rodriguez71@yahoo.com,ITALY,1,1400,42.00,CANADA,11/08/2025
89,ON-LINE,TV,Matthew Gonzalez,matthew.gonzalez18@icloud.com,MEXICO,1,900,45.00,ENGLAND,04/05/2025
90,IN-STORE,IPAD,Cynthia Davis,cynthia.davis9@outlook.com,USA,3,700,0.00,USA,07/26/2025
91,IN-STORE,COMPUTER,Lisa Moore,lisa.moore10@icloud.com,CANADA,1,1400,0.00,CANADA,10/24/2025
92,IN-STORE,WATCH,Karen Cook,karen.cook21@yahoo.com,ENGLAND,3,250,0.00,USA,05/20/2025
93,ON-LINE,IPAD,Walter Carter,walter.carter26@outlook.com,GERMANY,1,700,105.00,USA,12/02/2025
94,IN-STORE,IPAD,Jennifer Flores,jennifer.flores85@proton.me,USA,1,700,0.00,CANADA,09/29/2025
95,IN-STORE,IPHONE,Kimberly King,kimberly.king55@yahoo.com,FRANCE,1,1100,33.00,CANADA,10/11/2025
96,IN-STORE,IPHONE,Brian Adams,brian.adams87@proton.me,CANADA,1,1100,110.00,USA,11/04/2025
97,ON-LINE,IPHONE,Bruce Green,bruce.green94@yahoo.com,USA,2,1100,66.00,USA,09/08/2025
98,IN-STORE,IPAD,Melissa Roberts,melissa.roberts53@proton.me,MEXICO,2,700,42.00,USA,07/09/2025
99,ON-LINE,TV,Rebecca Nelson,rebecca.nelson57@proton.me,ITALY,1,900,72.00,ENGLAND,03/04/2025
100,IN-STORE,COMPUTER,Grace Rivera,grace.rivera2@gmail.com,CANADA,1,1400,0.00,ENGLAND,10/22/2025
101,ON-LINE,IPHONE,Kevin Johnson,kevin.johnson34@yahoo.com,USA,3,1100,99.00,CANADA,12/20/2025
102,IN-STORE,IPHONE,Megan Carter,megan.carter83@outlook.com,USA,1,1100,33.00,ENGLAND,07/18/2025
103,ON-LINE,IPHONE,Anna Taylor,anna.taylor7@gmail.com,ENGLAND,2,1100,176.00,ENGLAND,11/20/2025
104,ON-LINE,IPHONE,Ryan Jackson,ryan.jackson94@proton.me,CANADA,2,1100,66.00,USA,06/25/2025
105,ON-LINE,TV,Kevin Johnson,kevin.johnson34@yahoo.com,USA,1,900,135.00,USA,04/21/2025
106,IN-STORE,IPHONE,Megan Carter,megan.carter83@outlook.com,USA,1,1100,88.00,USA,07/11/2025
107,IN-STORE,TV,Megan Wilson,megan.wilson17@outlook.com,CANADA,1,900,45.00,CANADA,11/09/2025
108,IN-STORE,IPHONE,Rebecca White,rebecca.white18@proton.me,USA,1,1100,0.00,USA,07/04/2025
109,ON-LINE,IPHONE,Bruce Taylor,bruce.taylor94@icloud.com,FRANCE,1,1100,0.00,USA,10/01/2025
110,ON-LINE,IPAD,John Nguyen,john.nguyen76@yahoo.com,MEXICO,1,700,0.00,USA,09/14/2025
111,ON-LINE,IPHONE,Kevin Johnson,kevin.johnson34@yahoo.com,USA,2,1100,176.00,ENGLAND,02/28/2025
112,IN-STORE,WATCH,Rebecca White,rebecca.white18@proton.me,USA,2,250,15.00,USA,08/21/2025
113,IN-STORE,TV,Megan Carter,megan.carter83@outlook.com,USA,2,900,54.00,CANADA,11/30/2025
114,IN-STORE,TV,Rebecca White,rebecca.white18@proton.me,USA,1,900,27.00,USA,12/24/2025
115,ON-LINE,TV,Kevin Johnson,kevin.johnson34@yahoo.com,USA,1,900,27.00,USA,12/12/2025
116,IN-STORE,IPHONE,Hannah Mitchell,hannah.mitchell96@outlook.com,MEXICO,1,1100,88.00,USA,04/05/2025
117,ON-LINE,TV,George Stewart,george.stewart40@yahoo.com,ENGLAND,1,900,72.00,CANADA,11/15/2025
118,ON-LINE,IPHONE,Susan Stewart,susan.stewart15@gmail.com,USA,1,1100,0.00,ENGLAND,07/15/2025
119,IN-STORE,COMPUTER,Rebecca White,rebecca.white18@proton.me,USA,1,1400,0.00,USA,07/15/2025
120,ON-LINE,COMPUTER,Kevin Johnson,kevin.johnson34@yahoo.com,USA,4,1400,280.00,USA,10/13/2025
121,ON-LINE,IPAD,Ryan Jackson,ryan.jackson94@proton.me,CANADA,1,700,35.00,ENGLAND,11/11/2025
122,ON-LINE,EBIKE,Jack Gonzalez,jack.gonzalez6@yahoo.com,GERMANY,2,2200,220.00,ENGLAND,12/03/2025
123,IN-STORE,COMPUTER,Megan Carter,megan.carter83@outlook.com,USA,1,1400,168.00,USA,04/12/2025
124,ON-LINE,IPAD,Kevin Johnson,kevin.johnson34@yahoo.com,USA,1,700,0.00,CANADA,07/11/2025
125,ON-LINE,COMPUTER,Bruce Taylor,bruce.taylor94@icloud.com,FRANCE,2,1400,0.00,ENGLAND,12/11/2025
126,IN-STORE,EBIKE,George Stewart,george.stewart40@yahoo.com,ENGLAND,1,2200,264.00,CANADA,03/23/2025
127,ON-LINE,COMPUTER,Kevin Johnson,kevin.johnson34@yahoo.com,USA,2,1400,420.00,CANADA,11/24/2025
128,ON-LINE,TV,Donna Garcia,donna.garcia13@icloud.com,FRANCE,1,900,0.00,USA,07/31/2025
129,IN-STORE,IPHONE,Charles Taylor,charles.taylor96@proton.me,USA,1,1100,55.00,USA,12/04/2025
130,ON-LINE,IPHONE,Ryan Jackson,ryan.jackson94@proton.me,CANADA,2,1100,66.00,ENGLAND,10/20/2025
131,ON-LINE,IPAD,Megan Carter,megan.carter83@outlook.com,USA,2,700,42.00,USA,08/14/2025
132,ON-LINE,EBIKE,Ashley Moore,ashley.moore90@gmail.com,USA,1,2200,66.00,CANADA,05/08/2025
133,ON-LINE,WATCH,Susan Garcia,susan.garcia46@outlook.com,CHINA,2,250,40.00,ENGLAND,12/15/2025
134,IN-STORE,IPHONE,Henry Thomas,henry.thomas63@yahoo.com,USA,1,1100,0.00,USA,10/28/2025
135,ON-LINE,IPAD,Jeffrey Parker,jeffrey.parker39@proton.me,MEXICO,1,700,0.00,ENGLAND,12/10/2025
136,ON-LINE,WATCH,Megan Carter,megan.carter83@outlook.com,USA,4,250,50.00,USA,12/27/2025
137,IN-STORE,TV,Kevin Johnson,kevin.johnson34@yahoo.com,USA,1,900,0.00,USA,12/12/2025
138,ON-LINE,TV,Kevin Johnson,kevin.johnson34@yahoo.com,USA,1,900,90.00,USA,01/30/2025
139,ON-LINE,TV,Grace Jackson,grace.jackson80@outlook.com,FRANCE,1,900,0.00,USA,02/09/2025
140,ON-LINE,EBIKE,Megan Carter,megan.carter83@outlook.com,USA,1,2200,0.00,CANADA,05/04/2025
141,ON-LINE,IPAD,Rebecca White,rebecca.white18@proton.me,USA,1,700,35.00,ENGLAND,10/01/2025
142,IN-STORE,IPHONE,Megan Wilson,megan.wilson17@outlook.com,CANADA,1,1100,88.00,USA,10/06/2025
143,IN-STORE,EBIKE,Megan Carter,megan.carter83@outlook.com,USA,1,2200,0.00,USA,12/18/2025
144,IN-STORE,TV,Steven Williams,steven.williams1@proton.me,GERMANY,1,900,27.00,CANADA,07/03/2025
145,ON-LINE,IPHONE,William Morris,william.morris43@gmail.com,USA,2,1100,66.00,USA,02/18/2025
146,ON-LINE,IPAD,Jeffrey Parker,jeffrey.parker39@proton.me,MEXICO,4,700,0.00,USA,05/05/2025
147,IN-STORE,WATCH,Mark Baker,mark.baker99@gmail.com,CHINA,1,250,12.50,USA,02/10/2025
148,IN-STORE,IPHONE,Lisa Moore,lisa.moore10@icloud.com,CANADA,2,1100,0.00,USA,07/25/2025
149,ON-LINE,COMPUTER,George Stewart,george.stewart40@yahoo.com,ENGLAND,1,1400,42.00,USA,08/31/2025
150,ON-LINE,IPHONE,Arthur Smith,arthur.smith71@outlook.com,ITALY,3,1100,99.00,USA,11/24/2025
151,IN-STORE,EBIKE,Rebecca White,rebecca.white18@proton.me,USA,1,2200,66.00,USA,07/10/2025
152,ON-LINE,WATCH,Jason Perez,jason.perez28@outlook.com,USA,2,250,25.00,USA,12/12/2025
153,ON-LINE,IPHONE,Rebecca White,rebecca.white18@proton.me,USA,1,1100,110.00,CANADA,08/17/2025
154,IN-STORE,EBIKE,Bruce Taylor,bruce.taylor94@icloud.com,FRANCE,1,2200,0.00,CANADA,01/03/2025
155,ON-LINE,COMPUTER,Jeffrey Parker,jeffrey.parker39@proton.me,MEXICO,1,1400,42.00,USA,09/12/2025
156,ON-LINE,IPHONE,Anna Taylor,anna.taylor7@gmail.com,ENGLAND,1,1100,0.00,CANADA,06/04/2025
157,ON-LINE,IPHONE,Megan Carter,megan.carter83@outlook.com,USA,1,1100,165.00,CANADA,11/07/2025
158,ON-LINE,EBIKE,Kevin Johnson,kevin.johnson34@yahoo.com,USA,1,2200,176.00,ENGLAND,09/29/2025
159,ON-LINE,IPAD,Melissa Roberts,melissa.roberts53@proton.me,MEXICO,4,700,140.00,CANADA,11/18/2025
160,ON-LINE,IPAD,Betty Rivera,betty.rivera70@icloud.com,ITALY,3,700,0.00,CANADA,11/17/2025
161,IN-STORE,IPAD,Thomas Rodriguez,thomas.rodriguez71@yahoo.com,ITALY,1,700,70.00,USA,10/15/2025
162,IN-STORE,IPHONE,Ryan Jackson,ryan.jackson94@proton.me,CANADA,1,1100,33.00,ENGLAND,11/17/2025
163,IN-STORE,IPHONE,Rebecca White,rebecca.white18@proton.me,USA,1,1100,33.00,USA,09/17/2025
164,ON-LINE,IPAD,Amy Thomas,amy.thomas53@yahoo.com,GERMANY,1,700,70.00,ENGLAND,08/30/2025
165,IN-STORE,IPHONE,Kenneth Thomas,kenneth.thomas17@outlook.com,USA,1,1100,132.00,ENGLAND,05/31/2025
166,IN-STORE,IPAD,Ryan Lee,ryan.lee10@gmail.com,ENGLAND,2,700,70.00,CANADA,03/10/2025
167,ON-LINE,IPHONE,Megan Carter,megan.carter83@outlook.com,USA,1,1100,55.00,USA,11/29/2025
168,ON-LINE,IPHONE,Amanda Wilson,amanda.wilson34@proton.me,ITALY,1,1100,0.00,USA,11/19/2025
169,ON-LINE,IPHONE,Megan Carter,megan.carter83@outlook.com,USA,1,1100,165.00,ENGLAND,10/21/2025
170,ON-LINE,IPAD,Jack Gonzalez,jack.gonzalez6@yahoo.com,GERMANY,1,700,21.00,USA,02/15/2025
171,IN-STORE,COMPUTER,Rebecca White,rebecca.white18@proton.me,USA,3,1400,630.00,USA,12/12/2025
172,ON-LINE,COMPUTER,Megan Carter,megan.carter83@outlook.com,USA,1,1400,0.00,USA,06/08/2025
173,ON-LINE,EBIKE,Megan Carter,megan.carter83@outlook.com,USA,1,2200,66.00,ENGLAND,12/27/2025
174,ON-LINE,COMPUTER,Megan Wilson,megan.wilson17@outlook.com,CANADA,1,1400,70.00,USA,09/10/2025
175,ON-LINE,WATCH,Megan Carter,megan.carter83@outlook.com,USA,1,250,12.50,CANADA,02/10/2025
176,ON-LINE,IPHONE,Susan Stewart,susan.stewart15@gmail.com,USA,1,1100,0.00,ENGLAND,08/29/2025
177,IN-STORE,WATCH,Kevin Johnson,kevin.johnson34@yahoo.com,USA,1,250,0.00,CANADA,07/10/2025
178,IN-STORE,IPAD,Jack Gonzalez,jack.gonzalez6@yahoo.com,GERMANY,4,700,84.00,CANADA,03/04/2025
179,ON-LINE,COMPUTER,Kevin Moore,kevin.moore99@outlook.com,FRANCE,2,1400,0.00,USA,09/17/2025
180,ON-LINE,IPHONE,Megan Carter,megan.carter83@outlook.com,USA,1,1100,33.00,USA,12/05/2025
181,ON-LINE,TV,Jason Perez,jason.perez28@outlook.com,USA,2,900,90.00,USA,07/27/2025
182,ON-LINE,IPHONE,Jack Gonzalez,jack.gonzalez6@yahoo.com,GERMANY,1,1100,55.00,USA,03/14/2025
183,ON-LINE,IPHONE,Kevin Moore,kevin.moore99@outlook.com,FRANCE,1,1100,165.00,USA,12/26/2025
184,IN-STORE,COMPUTER,Megan Wilson,megan.wilson17@outlook.com,CANADA,1,1400,140.00,USA,11/25/2025
185,IN-STORE,IPHONE,Megan Carter,megan.carter83@outlook.com,USA,3,1100,99.00,USA,01/11/2025
186,ON-LINE,COMPUTER,Rebecca White,rebecca.white18@proton.me,USA,2,1400,0.00,USA,12/24/2025
187,IN-STORE,COMPUTER,Megan Carter,megan.carter83@outlook.com,USA,2,1400,140.00,USA,07/06/2025
188,ON-LINE,IPHONE,Ryan Jackson,ryan.jackson94@proton.me,CANADA,3,1100,165.00,CANADA,11/09/2025
189,ON-LINE,COMPUTER,Megan Carter,megan.carter83@outlook.com,USA,1,1400,112.00,ENGLAND,06/10/2025
190,ON-LINE,IPHONE,Grace Jackson,grace.jackson80@outlook.com,FRANCE,1,1100,0.00,ENGLAND,11/10/2025
191,ON-LINE,COMPUTER,Bruce Taylor,bruce.taylor94@icloud.com,FRANCE,2,1400,0.00,ENGLAND,11/10/2025
192,ON-LINE,TV,Ryan Flores,ryan.flores13@gmail.com,ENGLAND,2,900,90.00,CANADA,05/27/2025
193,IN-STORE,IPHONE,Brian Campbell,brian.campbell56@proton.me,GERMANY,2,1100,264.00,CANADA,06/22/2025
194,IN-STORE,COMPUTER,Megan Carter,megan.carter83@outlook.com,USA,1,1400,0.00,USA,11/05/2025
195,IN-STORE,EBIKE,Ryan Jackson,ryan.jackson94@proton.me,CANADA,2,2200,352.00,ENGLAND,09/07/2025
196,IN-STORE,COMPUTER,Kevin Johnson,kevin.johnson34@yahoo.com,USA,2,1400,224.00,CANADA,05/24/2025
197,IN-STORE,EBIKE,Megan Baker,megan.baker95@yahoo.com,GERMANY,2,2200,132.00,USA,12/27/2025
198,ON-LINE,EBIKE,Jack Gonzalez,jack.gonzalez6@yahoo.com,GERMANY,2,2200,220.00,ENGLAND,01/19/2025
199,ON-LINE,COMPUTER,Christopher Brown,christopher.brown11@yahoo.com,ENGLAND,2,1400,280.00,USA,12/05/2025
200,IN-STORE,COMPUTER,Rebecca White,rebecca.white18@proton.me,USA,1,1400,0.00,USA,06/06/2025
201,ON-LINE,COMPUTER,Kevin Johnson,kevin.johnson34@yahoo.com,USA,1,1400,140.00,CANADA,11/13/2025
202,ON-LINE,TV,Jack Gonzalez,jack.gonzalez6@yahoo.com,GERMANY,1,900,0.00,USA,07/08/2025
203,IN-STORE,WATCH,Kevin Johnson,kevin.johnson34@yahoo.com,USA,2,250,40.00,CANADA,10/09/2025
204,IN-STORE,TV,Grace Jackson,grace.jackson80@outlook.com,FRANCE,1,900,108.00,USA,09/29/2025
205,ON-LINE,IPHONE,Mark Baker,mark.baker99@gmail.com,CHINA,3,1100,0.00,USA,05/31/2025
206,ON-LINE,IPHONE,Megan Carter,megan.carter83@outlook.com,USA,1,1100,110.00,USA,09/18/2025
207,ON-LINE,IPAD,Grace Martinez,grace.martinez78@yahoo.com,USA,1,700,56.00,CANADA,10/17/2025
208,IN-STORE,IPHONE,Megan Carter,megan.carter83@outlook.com,USA,1,1100,0.00,USA,10/05/2025
209,ON-LINE,WATCH,Margaret Adams,margaret.adams83@icloud.com,CANADA,4,250,100.00,USA,12/15/2025
210,ON-LINE,IPHONE,Rebecca White,rebecca.white18@proton.me,USA,1,1100,0.00,USA,11/24/2025
211,IN-STORE,TV,Megan Carter,megan.carter83@outlook.com,USA,1,900,135.00,USA,11/18/2025
212,ON-LINE,TV,Brian Campbell,brian.campbell56@proton.me,GERMANY,1,900,72.00,USA,11/25/2025
213,IN-STORE,EBIKE,William Morris,william.morris43@gmail.com,USA,2,2200,132.00,USA,12/13/2025
214,ON-LINE,IPHONE,Bruce Taylor,bruce.taylor94@icloud.com,FRANCE,2,1100,66.00,USA,04/18/2025
215,ON-LINE,EBIKE,Megan Carter,megan.carter83@outlook.com,USA,1,2200,110.00,ENGLAND,09/24/2025
216,IN-STORE,IPAD,Ryan Jackson,ryan.jackson94@proton.me,CANADA,1,700,56.00,USA,12/24/2025
217,ON-LINE,IPHONE,Megan Carter,megan.carter83@outlook.com,USA,3,1100,0.00,ENGLAND,06/03/2025
218,ON-LINE,IPHONE,Megan Carter,megan.carter83@outlook.com,USA,1,1100,55.00,CANADA,08/08/2025
219,IN-STORE,IPAD,James Hill,james.hill3@gmail.com,CHINA,4,700,84.00,USA,12/19/2025
220,IN-STORE,IPHONE,Jason Perez,jason.perez28@outlook.com,USA,1,1100,33.00,USA,11/08/2025
221,ON-LINE,IPHONE,Megan Carter,megan.carter83@outlook.com,USA,2,1100,110.00,USA,11/18/2025
222,ON-LINE,EBIKE,Hannah Taylor,hannah.taylor77@icloud.com,USA,2,2200,0.00,USA,08/05/2025
223,IN-STORE,IPHONE,Megan Carter,megan.carter83@outlook.com,USA,1,1100,132.00,ENGLAND,04/15/2025
224,ON-LINE,EBIKE,Ryan Jackson,ryan.jackson94@proton.me,CANADA,1,2200,0.00,USA,05/21/2025
225,ON-LINE,COMPUTER,Rebecca White,rebecca.white18@proton.me,USA,2,1400,140.00,USA,08/20/2025
226,ON-LINE,COMPUTER,Steven Williams,steven.williams1@proton.me,GERMANY,2,1400,336.00,CANADA,09/28/2025
227,IN-STORE,EBIKE,Kevin Johnson,kevin.johnson34@yahoo.com,USA,1,2200,110.00,CANADA,11/25/2025
