sale_id,sale_type,sales_channel,product_name,product_category,product_brand,customer_name,customer_email,customer_country,customer_city,customer_gender,customer_segment,quantity,unit_price,cost_price,discount,store_location,store_region,store_manager,sale_date,order_timestamp,delivery_date,order_status
14,ON-LINE,WEB,IPHONE,MOBILE,Apple,Aria Thompson,aria.thompson29@yahoo.com,USA,San Jose,FEMALE,REGULAR,1,981.0,761.25,49.05,USA,WEST,Jay Smith,2016-10-17,2016-10-17 12:42:00,2016-10-24,COMPLETED
15,ON-LINE,WEB,IPAD,TABLET,Apple,Ella Dubois,ella.dubois81@yahoo.com,CHINA,Beijing,MALE,REGULAR,3,787.0,620.46,354.15,CHINA,EAST,Wei Zhang,11/29/2015,2015-11-29 08:27:08,2015-12-07,COMPLETED
16,ON-LINE,WEB,WATCH,WEARABLE,Samsung,Carlos Fischer,carlos.fischer32@outlook.com,INDIA,Mumbai,MALE,REGULAR,1,681.0,449.6,0.0,USA,EAST,Linda Parker,10/06/2016,2016-10-06 15:21:53,2016-10-13,COMPLETED
17,ON-LINE,WEB,MACBOOK,COMPUTERS,Apple,Evelyn Lee,evelyn.lee38@yahoo.com,FRANCE,Lyon,FEMALE,REGULAR,1,2022.0,1498.66,0.0,CHINA,EAST,Li Chen,01/16/2017,2017-01-16 15:17:24,2017-01-24,COMPLETED
18,ON-LINE,WEB,IPHONE,MOBILE,Apple,Matthew Phillips,matthew.phillips68@proton.me,GERMANY,Berlin,MALE,REGULAR,1,899.0,616.72,44.95,USA,EAST,Jay Smith,2015-12-06,2015-12-06 09:03:27,2015-12-07,COMPLETED
19,IN-STORE,STORE,EBIKE,MOBILITY,Trek,Lily Miller,lily.miller69@gmail.com,USA,New York,MALE,REGULAR,3,2123.0,1529.41,0.0,CHINA,SOUTH,Wei Zhang,12/07/2016,2016-12-07 17:18:27,2016-12-07,COMPLETED
20,ON-LINE,MOBILE_APP,HEADPHONES,AUDIO,Sony,Camila Lewis,camila.lewis51@yahoo.com,CANADA,Vancouver,MALE,REGULAR,1,167.0,104.75,16.7,CANADA,WEST,Emily Chen,11/15/2016,2016-11-15 15:30:32,2016-11-24,COMPLETED
21,ON-LINE,MOBILE_APP,EBIKE,MOBILITY,Specialized,Victoria Zhang,victoria.zhang38@gmail.com,CANADA,Toronto,FEMALE,REGULAR,1,1935.0,1545.91,0.0,USA,WEST,Jay Smith,07/28/2017,2017-07-28 17:57:36,2017-08-03,COMPLETED
22,ON-LINE,WEB,BIKE,MOBILITY,Cannondale,Daniel Ferrari,daniel.ferrari88@yahoo.com,USA,Chicago,MALE,REGULAR,1,1032.0,751.48,154.8,USA,EAST,Jay Smith,11/24/2016,2016-11-24 15:48:51,2016-12-01,COMPLETED
23,IN-STORE,STORE,IPHONE,MOBILE,Apple,Sara Sharma,sara.sharma17@gmail.com,CHINA,Shanghai,FEMALE,REGULAR,1,1300.0,1038.39,65.0,USA,EAST,Jay Smith,09/09/2016,2016-09-09 16:08:43,2016-09-18,COMPLETED
24,ON-LINE,WEB,MACBOOK,COMPUTERS,Apple,John Clark,john.clark62@gmail.com,GERMANY,Munich,MALE,REGULAR,1,1535.0,1017.43,307.0,USA,WEST,Linda Parker,08/07/2017,2017-08-07 10:05:12,2017-08-11,COMPLETED
25,IN-STORE,STORE,TV,ELECTRONICS,Sony,Alexander Rossi,alexander.rossi90@gmail.com,INDIA,Delhi,MALE,PREMIUM,1,1155.0,882.27,0.0,USA,WEST,Linda Parker,04/30/2017,2017-04-30 13:51:46,2017-05-09,COMPLETED
26,ON-LINE,WEB,SCOOTER,MOBILITY,Segway,Charlotte Ferrari,charlotte.ferrari6@gmail.com,GERMANY,Munich,MALE,REGULAR,1,422.0,320.08,0.0,USA,WEST,Jay Smith,2016-08-12,2016-08-12 12:44:22,2016-08-17,COMPLETED
27,ON-LINE,MOBILE_APP,HEADPHONES,AUDIO,Apple,Charlotte Khan,charlotte.khan23@icloud.com,USA,New York,OTHER,PREMIUM,1,398.0,307.46,19.9,USA,WEST,Linda Parker,2015-05-16,2015-05-16 14:00:53,2015-05-16,COMPLETED
28,ON-LINE,MOBILE_APP,SCOOTER,MOBILITY,Segway,Henry Anderson,henry.anderson14@outlook.com,GERMANY,Hamburg,MALE,REGULAR,1,541.0,341.79,0.0,ENGLAND,NORTH,Oliver Reed,2016-03-07,2016-03-07 18:28:15,2016-03-11,COMPLETED
29,ON-LINE,MOBILE_APP,IPHONE,MOBILE,Apple,Olivia Nelson,olivia.nelson52@icloud.com,CHINA,Beijing,FEMALE,REGULAR,1,813.0,579.3,40.65,CHINA,SOUTH,Li Chen,2015-12-11,2015-12-11 14:05:37,2015-12-13,COMPLETED
30,ON-LINE,WEB,TV,ELECTRONICS,Samsung,Jack Wright,jack.wright11@proton.me,GERMANY,Hamburg,MALE,REGULAR,1,529.0,350.92,0.0,CANADA,WEST,Emily Chen,2016-09-05,2016-09-05 10:43:36,2016-09-07,COMPLETED
31,IN-STORE,STORE,COMPUTER,COMPUTERS,Dell,Li Mitchell,li.mitchell58@gmail.com,ENGLAND,Manchester,FEMALE,REGULAR,2,1769.0,1302.4,0.0,CANADA,WEST,Noah Bennett,12/19/2015,2015-12-19 16:30:27,2015-12-28,COMPLETED
32,ON-LINE,MOBILE_APP,HEADPHONES,AUDIO,Apple,George Taylor,george.taylor81@icloud.com,CHINA,Shenzhen,FEMALE,REGULAR,1,339.0,238.47,0.0,CHINA,SOUTH,Li Chen,07/05/2015,2015-07-05 16:35:33,2015-07-05,COMPLETED
33,ON-LINE,WEB,WATCH,WEARABLE,Apple,Hans Martin,hans.martin76@yahoo.com,CANADA,Vancouver,FEMALE,STUDENT,1,339.0,244.74,16.95,CANADA,CENTRAL,Noah Bennett,2015-08-29,2015-08-29 16:57:57,2015-09-07,COMPLETED
34,ON-LINE,WEB,IPHONE,MOBILE,Apple,Harper Perez,harper.perez56@outlook.com,ENGLAND,Manchester,FEMALE,REGULAR,1,1318.0,903.95,65.9,ENGLAND,NORTH,Oliver Reed,2015-10-13,2015-10-13 18:27:46,2015-10-21,COMPLETED
35,ON-LINE,WEB,COMPUTER,COMPUTERS,Dell,Miguel Martinez,miguel.martinez22@yahoo.com,USA,New York,MALE,REGULAR,1,1700.0,1135.45,85.0,CANADA,WEST,Emily Chen,2015-12-30,2015-12-30 13:18:36,2016-01-07,COMPLETED
36,IN-STORE,STORE,HEADPHONES,AUDIO,Apple,Michael Garcia,michael.garcia60@icloud.com,FRANCE,Paris,MALE,REGULAR,2,62.0,49.33,12.4,CHINA,EAST,Wei Zhang,2016-09-18,2016-09-18 10:58:26,2016-09-25,COMPLETED
37,IN-STORE,STORE,HELMET,ACCESSORY,Specialized,Amelia Walker,amelia.walker26@proton.me,GERMANY,Berlin,OTHER,REGULAR,1,83.0,63.77,0.0,USA,EAST,Linda Parker,06/17/2015,2015-06-17 08:42:28,2015-06-19,COMPLETED
38,ON-LINE,MOBILE_APP,IPHONE,MOBILE,Apple,George Green,george.green57@proton.me,GERMANY,Munich,FEMALE,REGULAR,4,933.0,660.98,0.0,CHINA,SOUTH,Wei Zhang,2015-06-23,2015-06-23 09:24:22,2015-06-25,COMPLETED
39,ON-LINE,WEB,TV,ELECTRONICS,Samsung,Daniela Muller,daniela.muller40@proton.me,INDIA,Mumbai,MALE,PREMIUM,1,581.0,390.36,0.0,USA,EAST,Linda Parker,2016-12-31,2016-12-31 19:17:17,2017-01-05,COMPLETED
40,ON-LINE,WEB,WATCH,WEARABLE,Samsung,Lucas Smith,lucas.smith97@gmail.com,USA,New York,FEMALE,REGULAR,2,797.0,582.66,0.0,CANADA,WEST,Emily Chen,10/30/2016,2016-10-30 08:36:41,2016-11-03,COMPLETED
41,ON-LINE,MOBILE_APP,IPHONE,MOBILE,Apple,Liam Brown,liam.brown22@gmail.com,CHINA,Shenzhen,MALE,REGULAR,1,1419.0,905.49,212.85,CHINA,SOUTH,Wei Zhang,06/05/2015,2015-06-05 12:36:06,2015-06-08,COMPLETED
42,ON-LINE,MOBILE_APP,WATCH,WEARABLE,Apple,Amir Perez,amir.perez69@outlook.com,ENGLAND,Manchester,FEMALE,REGULAR,3,227.0,139.44,0.0,USA,WEST,Jay Smith,2015-10-19,2015-10-19 09:14:05,2015-10-24,COMPLETED
43,ON-LINE,MOBILE_APP,IPAD,TABLET,Apple,Olivia Reed,olivia.reed38@proton.me,USA,San Jose,MALE,STUDENT,1,1024.0,658.71,102.4,CHINA,SOUTH,Li Chen,2015-06-17,2015-06-17 10:26:16,2015-06-22,COMPLETED
44,IN-STORE,STORE,COMPUTER,COMPUTERS,HP,Karl Scott,karl.scott63@yahoo.com,USA,San Jose,MALE,REGULAR,2,1526.0,1186.97,0.0,USA,EAST,Linda Parker,2017-07-12,2017-07-12 12:26:09,2017-07-12,COMPLETED
45,IN-STORE,STORE,BIKE,MOBILITY,Cannondale,Hans King,hans.king23@yahoo.com,INDIA,Mumbai,FEMALE,REGULAR,1,902.0,604.72,0.0,ENGLAND,SOUTH,Oliver Reed,02/15/2017,2017-02-15 14:52:47,2017-02-16,COMPLETED
46,ON-LINE,MOBILE_APP,MACBOOK,COMPUTERS,Apple,Daniela Scott,daniela.scott79@outlook.com,GERMANY,Munich,MALE,REGULAR,2,2913.0,1856.1,582.6,USA,WEST,Linda Parker,2016-12-31,2016-12-31 16:00:11,2017-01-08,COMPLETED
47,IN-STORE,STORE,WATCH,WEARABLE,Samsung,Michael Singh,michael.singh74@icloud.com,ENGLAND,Manchester,MALE,STUDENT,1,297.0,190.11,44.55,ENGLAND,SOUTH,Oliver Reed,2017-07-09,2017-07-09 10:33:02,2017-07-12,COMPLETED
48,ON-LINE,WEB,HEADPHONES,AUDIO,Bose,Sara Sharma,sara.sharma17@gmail.com,CHINA,Shanghai,FEMALE,REGULAR,1,82.0,59.99,0.0,CHINA,EAST,Li Chen,05/23/2017,2017-05-23 19:59:00,2017-05-23,COMPLETED
49,ON-LINE,WEB,SCOOTER,MOBILITY,Xiaomi,Anna Martin,anna.martin85@proton.me,CANADA,Vancouver,FEMALE,PREMIUM,2,668.0,427.06,0.0,CHINA,EAST,Li Chen,03/10/2015,2015-03-10 16:52:19,2015-03-12,COMPLETED
50,ON-LINE,WEB,COMPUTER,COMPUTERS,HP,Elena Ferrari,elena.ferrari88@proton.me,ENGLAND,London,FEMALE,REGULAR,1,1732.0,1280.45,0.0,CHINA,EAST,Wei Zhang,2015-06-14,2015-06-14 11:39:41,2015-06-16,COMPLETED
51,IN-STORE,STORE,MACBOOK,COMPUTERS,Apple,Sebastian Weber,sebastian.weber94@icloud.com,CANADA,Vancouver,FEMALE,PREMIUM,1,2542.0,1831.55,0.0,CANADA,CENTRAL,Noah Bennett,08/07/2017,2017-08-07 11:41:56,2017-08-09,COMPLETED
52,ON-LINE,MOBILE_APP,TV,ELECTRONICS,Samsung,Matthew Phillips,matthew.phillips68@proton.me,GERMANY,Berlin,MALE,REGULAR,3,1916.0,1430.25,0.0,CANADA,WEST,Noah Bennett,06/17/2017,2017-06-17 12:37:07,2017-06-23,COMPLETED
53,ON-LINE,WEB,IPHONE,MOBILE,Apple,George Taylor,george.taylor81@icloud.com,CHINA,Shenzhen,FEMALE,REGULAR,1,1060.0,729.78,53.0,CHINA,EAST,Li Chen,06/17/2015,2015-06-17 10:21:41,2015-06-17,COMPLETED
54,IN-STORE,STORE,COMPUTER,COMPUTERS,Dell,Ethan Morris,ethan.morris83@icloud.com,MEXICO,Guadalajara,MALE,PREMIUM,2,1417.0,942.04,0.0,USA,EAST,Linda Parker,2017-03-29,2017-03-29 20:06:26,2017-04-02,COMPLETED
55,IN-STORE,STORE,COMPUTER,COMPUTERS,Lenovo,Carlos Dubois,carlos.dubois56@yahoo.com,INDIA,Bengaluru,FEMALE,REGULAR,1,1145.0,771.87,0.0,USA,WEST,Linda Parker,2016-05-04,2016-05-04 17:22:57,2016-05-06,COMPLETED
56,IN-STORE,STORE,IPHONE,MOBILE,Apple,Logan Stewart,logan.stewart66@gmail.com,USA,Chicago,MALE,PREMIUM,1,975.0,609.98,0.0,USA,EAST,Linda Parker,2016-02-04,2016-02-04 14:49:04,2016-02-07,COMPLETED
57,ON-LINE,MOBILE_APP,IPHONE,MOBILE,Apple,David Miller,david.miller58@proton.me,CANADA,Toronto,MALE,REGULAR,1,960.0,601.16,0.0,CHINA,SOUTH,Li Chen,05/05/2015,2015-05-05 12:50:45,2015-05-09,COMPLETED
58,IN-STORE,STORE,HELMET,ACCESSORY,Bell,Amir Perez,amir.perez69@outlook.com,ENGLAND,Manchester,FEMALE,REGULAR,1,149.0,112.78,14.9,ENGLAND,NORTH,Grace Turner,2017-01-13,2017-01-13 10:12:13,2017-01-18,COMPLETED
59,ON-LINE,MOBILE_APP,BIKE,MOBILITY,Cannondale,Harry Lopez,harry.lopez63@outlook.com,GERMANY,Hamburg,MALE,REGULAR,1,1184.0,914.84,0.0,CHINA,EAST,Li Chen,04/26/2016,2016-04-26 19:09:27,2016-05-03,COMPLETED
60,ON-LINE,WEB,HEADPHONES,AUDIO,Bose,Giulia Jackson,giulia.jackson25@proton.me,ENGLAND,Manchester,FEMALE,PREMIUM,3,271.0,208.18,40.65,USA,EAST,Jay Smith,2015-08-13,2015-08-13 18:37:52,2015-08-17,COMPLETED
61,ON-LINE,WEB,IPAD,TABLET,Apple,Levi Campbell,levi.campbell23@icloud.com,ENGLAND,Manchester,OTHER,PREMIUM,1,542.0,346.68,81.3,USA,EAST,Jay Smith,2016-12-26,2016-12-26 10:13:09,2016-12-29,COMPLETED
62,ON-LINE,MOBILE_APP,WATCH,WEARABLE,Apple,Victoria Zhang,victoria.zhang38@gmail.com,CANADA,Toronto,FEMALE,REGULAR,3,293.0,180.26,0.0,USA,WEST,Jay Smith,12/03/2016,2016-12-03 14:54:32,2016-12-10,COMPLETED
63,IN-STORE,STORE,BIKE,MOBILITY,Cannondale,Harper Phillips,harper.phillips65@outlook.com,CANADA,Vancouver,MALE,REGULAR,1,351.0,252.87,0.0,ENGLAND,SOUTH,Oliver Reed,2015-12-30,2015-12-30 10:08:02,2016-01-07,COMPLETED
64,IN-STORE,STORE,MACBOOK,COMPUTERS,Apple,Mia Wright,mia.wright82@yahoo.com,FRANCE,Paris,FEMALE,REGULAR,1,2155.0,1313.95,215.5,ENGLAND,SOUTH,Grace Turner,2016-03-19,2016-03-19 18:11:31,2016-03-26,COMPLETED
65,IN-STORE,STORE,COMPUTER,COMPUTERS,HP,Mia Roberts,mia.roberts66@proton.me,GERMANY,Berlin,FEMALE,REGULAR,1,1362.0,1016.14,0.0,ENGLAND,SOUTH,Oliver Reed,2015-05-25,2015-05-25 17:17:48,2015-05-26,COMPLETED
66,IN-STORE,STORE,IPHONE,MOBILE,Apple,Karl Martinez,karl.martinez86@proton.me,GERMANY,Hamburg,FEMALE,STUDENT,1,885.0,645.34,132.75,CANADA,WEST,Emily Chen,09/04/2017,2017-09-04 11:34:28,2017-09-13,COMPLETED
67,IN-STORE,STORE,HELMET,ACCESSORY,Bell,Mason Carter,mason.carter81@icloud.com,USA,New York,MALE,REGULAR,1,75.0,48.84,7.5,CHINA,SOUTH,Wei Zhang,2015-05-27,2015-05-27 12:19:21,2015-05-31,COMPLETED
68,ON-LINE,WEB,IPAD,TABLET,Apple,Levi Reed,levi.reed6@proton.me,GERMANY,Munich,MALE,REGULAR,1,571.0,372.12,0.0,CANADA,WEST,Emily Chen,12/05/2015,2015-12-05 19:46:45,2015-12-10,COMPLETED
69,ON-LINE,MOBILE_APP,MACBOOK,COMPUTERS,Apple,Giulia Weber,giulia.weber52@gmail.com,GERMANY,Munich,MALE,REGULAR,1,1335.0,965.34,0.0,USA,WEST,Jay Smith,08/21/2015,2015-08-21 20:28:44,2015-08-22,COMPLETED
70,ON-LINE,MOBILE_APP,HEADPHONES,AUDIO,Bose,Liam Garcia,liam.garcia38@gmail.com,USA,San Jose,MALE,REGULAR,3,103.0,71.98,0.0,USA,EAST,Linda Parker,04/11/2016,2016-04-11 21:00:37,2016-04-14,COMPLETED
71,ON-LINE,MOBILE_APP,EBIKE,MOBILITY,Specialized,Emma Morris,emma.morris86@icloud.com,USA,Chicago,MALE,REGULAR,1,2856.0,2110.65,0.0,USA,WEST,Linda Parker,2015-10-23,2015-10-23 15:21:32,2015-10-23,COMPLETED
72,IN-STORE,STORE,IPAD,TABLET,Apple,Owen Collins,owen.collins53@icloud.com,GERMANY,Berlin,FEMALE,PREMIUM,3,438.0,280.79,197.1,CHINA,EAST,Li Chen,2017-03-09,2017-03-09 11:19:46,2017-03-14,COMPLETED
73,ON-LINE,WEB,IPHONE,MOBILE,Apple,Harper White,harper.white56@proton.me,INDIA,Mumbai,FEMALE,REGULAR,1,1212.0,960.91,0.0,USA,EAST,Linda Parker,2016-12-07,2016-12-07 12:45:01,2016-12-13,COMPLETED
74,ON-LINE,WEB,IPAD,TABLET,Apple,Amelia Muller,amelia.muller48@gmail.com,ENGLAND,Manchester,FEMALE,REGULAR,3,567.0,448.99,0.0,CHINA,EAST,Li Chen,2017-11-20,2017-11-20 21:02:32,2017-11-21,COMPLETED
75,IN-STORE,STORE,IPAD,TABLET,Apple,Harper Phillips,harper.phillips65@outlook.com,CANADA,Vancouver,MALE,REGULAR,1,1108.0,884.84,0.0,CANADA,CENTRAL,Emily Chen,08/09/2016,2016-08-09 17:43:13,2016-08-14,COMPLETED
76,ON-LINE,WEB,HELMET,ACCESSORY,Giro,Francesca Gonzalez,francesca.gonzalez69@icloud.com,CHINA,Shenzhen,FEMALE,REGULAR,2,148.0,93.76,0.0,USA,WEST,Linda Parker,04/27/2016,2016-04-27 10:26:09,2016-04-30,RETURNED
77,IN-STORE,STORE,IPAD,TABLET,Apple,Emily Smith,emily.smith57@outlook.com,USA,San Jose,MALE,REGULAR,3,763.0,554.5,0.0,ENGLAND,NORTH,Oliver Reed,2016-10-01,2016-10-01 15:36:52,2016-10-04,COMPLETED
78,ON-LINE,WEB,HEADPHONES,AUDIO,Apple,James Davis,james.davis50@outlook.com,CHINA,Shenzhen,OTHER,REGULAR,4,240.0,149.79,0.0,USA,EAST,Jay Smith,2015-01-29,2015-01-29 15:32:15,2015-02-02,COMPLETED
79,IN-STORE,STORE,MACBOOK,COMPUTERS,Apple,Amelia Lee,amelia.lee96@icloud.com,CHINA,Beijing,FEMALE,REGULAR,1,2642.0,1825.65,0.0,USA,WEST,Linda Parker,2015-02-14,2015-02-14 15:54:22,2015-02-17,COMPLETED
80,ON-LINE,MOBILE_APP,COMPUTER,COMPUTERS,Dell,Ava Smith,ava.smith92@icloud.com,CHINA,Beijing,FEMALE,PREMIUM,1,1008.0,670.22,151.2,CANADA,CENTRAL,Noah Bennett,11/18/2017,2017-11-18 16:03:58,2017-11-21,COMPLETED
81,IN-STORE,STORE,COMPUTER,COMPUTERS,Lenovo,John Lopez,john.lopez25@proton.me,CHINA,Beijing,FEMALE,REGULAR,1,1386.0,1008.2,0.0,CHINA,SOUTH,Wei Zhang,2016-10-28,2016-10-28 13:24:26,2016-10-30,COMPLETED
82,ON-LINE,MOBILE_APP,IPAD,TABLET,Apple,Evelyn Phillips,evelyn.phillips34@gmail.com,CHINA,Beijing,FEMALE,REGULAR,3,866.0,607.96,0.0,CHINA,EAST,Wei Zhang,2015-06-11,2015-06-11 20:10:22,2015-06-16,COMPLETED
83,ON-LINE,WEB,IPHONE,MOBILE,Apple,Michael Singh,michael.singh74@icloud.com,ENGLAND,Manchester,MALE,STUDENT,1,1016.0,769.11,0.0,CHINA,SOUTH,Wei Zhang,06/10/2017,2017-06-10 14:58:34,2017-06-13,RETURNED
84,ON-LINE,WEB,IPAD,TABLET,Apple,Marco Adams,marco.adams42@outlook.com,USA,San Jose,MALE,REGULAR,1,491.0,360.89,0.0,CANADA,CENTRAL,Emily Chen,2015-05-17,2015-05-17 17:49:38,2015-05-26,COMPLETED
85,ON-LINE,WEB,BIKE,MOBILITY,Giant,Michael Jackson,michael.jackson47@icloud.com,CHINA,Shenzhen,MALE,PREMIUM,2,894.0,638.98,0.0,CHINA,EAST,Li Chen,03/23/2015,2015-03-23 18:32:29,2015-03-27,COMPLETED
86,IN-STORE,STORE,IPHONE,MOBILE,Apple,Victoria Anderson,victoria.anderson86@outlook.com,INDIA,Delhi,MALE,STUDENT,1,1172.0,901.32,0.0,CANADA,CENTRAL,Noah Bennett,2017-07-14,2017-07-14 11:04:39,2017-07-21,COMPLETED
87,IN-STORE,STORE,HELMET,ACCESSORY,Giro,Victoria Dubois,victoria.dubois84@gmail.com,USA,New York,MALE,REGULAR,4,116.0,77.22,46.4,CHINA,EAST,Wei Zhang,2015-12-26,2015-12-26 21:18:49,2015-12-30,COMPLETED
88,ON-LINE,MOBILE_APP,HELMET,ACCESSORY,Specialized,Scarlett Patel,scarlett.patel40@gmail.com,MEXICO,Guadalajara,FEMALE,STUDENT,1,156.0,114.08,0.0,CHINA,SOUTH,Li Chen,2016-02-24,2016-02-24 19:30:25,2016-02-28,COMPLETED
89,ON-LINE,WEB,SCOOTER,MOBILITY,Razor,Sophia Wright,sophia.wright90@gmail.com,ITALY,Milan,MALE,REGULAR,3,459.0,292.18,206.55,USA,WEST,Jay Smith,2017-10-14,2017-10-14 19:02:54,2017-10-20,COMPLETED
90,ON-LINE,MOBILE_APP,HEADPHONES,AUDIO,Sony,William Muller,william.muller77@outlook.com,USA,San Jose,FEMALE,REGULAR,5,138.0,89.35,69.0,CHINA,EAST,Li Chen,03/25/2016,2016-03-25 21:43:10,2016-03-30,COMPLETED
91,ON-LINE,MOBILE_APP,HEADPHONES,AUDIO,Sony,Oliver Anderson,oliver.anderson60@yahoo.com,USA,San Jose,FEMALE,PREMIUM,3,218.0,149.06,0.0,CHINA,SOUTH,Wei Zhang,2015-07-21,2015-07-21 15:37:31,2015-07-29,COMPLETED
92,ON-LINE,MOBILE_APP,SCOOTER,MOBILITY,Xiaomi,Sarah Smith,sarah.smith85@outlook.com,GERMANY,Hamburg,OTHER,REGULAR,1,501.0,352.11,100.2,ENGLAND,SOUTH,Grace Turner,02/08/2015,2015-02-08 12:13:57,2015-02-14,COMPLETED
93,ON-LINE,WEB,COMPUTER,COMPUTERS,HP,Logan Phillips,logan.phillips84@outlook.com,GERMANY,Munich,OTHER,PREMIUM,2,842.0,592.24,0.0,CHINA,EAST,Li Chen,09/25/2016,2016-09-25 21:19:39,2016-09-29,COMPLETED
94,ON-LINE,MOBILE_APP,IPHONE,MOBILE,Apple,Logan Wang,logan.wang4@gmail.com,GERMANY,Berlin,FEMALE,REGULAR,1,1243.0,947.3,248.6,CHINA,SOUTH,Wei Zhang,2017-06-07,2017-06-07 12:52:57,2017-06-12,COMPLETED
95,ON-LINE,MOBILE_APP,EBIKE,MOBILITY,Trek,Mason Scott,mason.scott58@yahoo.com,CHINA,Shenzhen,FEMALE,REGULAR,2,3909.0,2753.56,0.0,CHINA,SOUTH,Wei Zhang,2017-06-29,2017-06-29 12:13:34,2017-06-30,COMPLETED
96,IN-STORE,STORE,TV,ELECTRONICS,Sony,Sophia Martin,sophia.martin74@gmail.com,USA,New York,MALE,STUDENT,2,1363.0,1046.16,136.3,USA,EAST,Jay Smith,05/07/2015,2015-05-07 09:07:12,2015-05-14,COMPLETED
97,ON-LINE,WEB,HEADPHONES,AUDIO,Bose,Nora Rossi,nora.rossi71@icloud.com,GERMANY,Munich,FEMALE,REGULAR,1,385.0,282.99,0.0,CHINA,EAST,Wei Zhang,2016-03-09,2016-03-09 18:47:48,2016-03-11,COMPLETED
98,IN-STORE,STORE,IPHONE,MOBILE,Apple,Hans Moore,hans.moore68@gmail.com,USA,San Jose,MALE,REGULAR,2,871.0,578.98,261.3,USA,EAST,Jay Smith,2017-06-18,2017-06-18 09:27:51,2017-06-22,COMPLETED
